"category","expression"
1000000,"NO2= 0.05*NOX, NO= 0.652*NOX-0.652*NO2, BZN=0.016*NMVOC, NMBVOC=NMVOC-BZN"
2000000,"NO2= 0.05*NOX, NO= 0.652*NOX-0.652*NO2, BZN=0.068*NMVOC, NMBVOC=NMVOC-BZN"
4000000,"NO2= 0.05*NOX, NO= 0.652*NOX-0.652*NO2, BZN=0.010*NMVOC, NMBVOC=NMVOC-BZN"
5000000,"NO2= 0.05*NOX, NO= 0.652*NOX-0.652*NO2, BZN=0.004*NMVOC, NMBVOC=NMVOC-BZN"
6000000,"NO2= 0.05*NOX, NO= 0.652*NOX-0.652*NO2, BZN=0.000*NMVOC, NMBVOC=NMVOC-BZN"
7100000,"NO2= 0.05*NOX, NO= 0.652*NOX-0.652*NO2, BZN=0.044*NMVOC, NMBVOC=NMVOC-BZN"
7200000,"NO2= 0.05*NOX, NO= 0.652*NOX-0.652*NO2, BZN=0.044*NMVOC, NMBVOC=NMVOC-BZN"
7300000,"NO2= 0.05*NOX, NO= 0.652*NOX-0.652*NO2, BZN=0.044*NMVOC, NMBVOC=NMVOC-BZN"
7400000,"NO2= 0.05*NOX, NO= 0.652*NOX-0.652*NO2, BZN=0.044*NMVOC, NMBVOC=NMVOC-BZN"
8000000,"NO2= 0.05*NOX, NO= 0.652*NOX-0.652*NO2, BZN=0.030*NMVOC, NMBVOC=NMVOC-BZN"
9000000,"NO2= 0.05*NOX, NO= 0.652*NOX-0.652*NO2, BZN=0.003*NMVOC, NMBVOC=NMVOC-BZN"
10000000,"NO2= 0.05*NOX, NO= 0.652*NOX-0.652*NO2, BZN=0.00*NMVOC, NMBVOC=NMVOC-BZN"
1002020201,"PM_CPRM=PM10-PM2_5, NO= 0.652*NOX-0.652*NO2, BZN=0*NMVOC, NMBVOC=NMVOC-BZN"
1002020202,"PM_CPRM=PM10-PM2_5, NO= 0.652*NOX-0.652*NO2, BZN=0*NMVOC, NMBVOC=NMVOC-BZN"
1002020203,"PM_CPRM=PM10-PM2_5, NO= 0.652*NOX-0.652*NO2, BZN=0*NMVOC, NMBVOC=NMVOC-BZN"
1002020204,"PM_CPRM=PM10-PM2_5, NO= 0.652*NOX-0.652*NO2, BZN=0*NMVOC, NMBVOC=NMVOC-BZN"
1001000000,"PM2_5=PM2_5_FPRM, PM_CPRM=PM10-PM2_5"
1002000000,"PM2_5=PM2_5_FPRM, PM_CPRM=PM10-PM2_5"
1003000000,"PM2_5=PM2_5_FPRM, PM_CPRM=PM10-PM2_5"
1004000000,"PM2_5=PM2_5_FPRM, PM_CPRM=PM10-PM2_5"
1005000000,"PM2_5=PM2_5_FPRM, PM_CPRM=PM10-PM2_5"
1006000000,"PM2_5=PM2_5_FPRM, PM_CPRM=PM10-PM2_5"
1007000000,"NO=0.652*NOX-0.652*NO2, BZN=0*VOC, CH4=0*VOC, NMVOC=VOC-CH4, NMBVOC=NMVOC-BZN, PM_CPRM=PM10-PM2_5"
1007100000,"NO=0.652*NOX-0.652*NO2, BZN=0*VOC, CH4=0*VOC, NMVOC=VOC-CH4, NMBVOC=NMVOC-BZN, PM_CPRM=PM10-PM2_5"
1007200000,"NO=0.652*NOX-0.652*NO2, BZN=0*VOC, CH4=0*VOC, NMVOC=VOC-CH4, NMBVOC=NMVOC-BZN, PM_CPRM=PM10-PM2_5"
1007510000,"PM_CPRM=PM10-PM2_5"
1007520000,"PM_CPRM=PM10-PM2_5"
1007800000,"PM_CPRM=PM10-PM2_5"
1008000000,"NO2= 0.05*NOX, NO= 0.652*NOX-0.652*NO2, BZN=0.03*NMVOC, NMBVOC=NMVOC-BZN, PM_CPRM=PM10-PM2_5, PM2_5_OC=0.57*PM2_5-0.57*PM2_5_EC, PM2_5_NA=0.04*PM2_5-0.04*PM2_5_EC, PM2_5_SO4=0.09*PM2_5-0.09*PM2_5_EC, PM2_5_FPRM=0.30*PM2_5-0.30*PM2_5_EC"
1118050200,"NO= 0.652*NOX-0.652*NO2, BZN=0.02*NMVOC, NMBVOC=NMVOC-BZN, PM_CPRM=PM10-PM2_5"
1118050210,"NO= 0.652*NOX-0.652*NO2, BZN=0.02*NMVOC, NMBVOC=NMVOC-BZN, PM_CPRM=PM10-PM2_5"
1118050220,"NO= 0.652*NOX-0.652*NO2, BZN=0.02*NMVOC, NMBVOC=NMVOC-BZN, PM_CPRM=PM10-PM2_5"
1118050230,"NO= 0.652*NOX-0.652*NO2, BZN=0.02*NMVOC, NMBVOC=NMVOC-BZN, PM_CPRM=PM10-PM2_5"
1118050240,"BZN=0.01*NMVOC, NMBVOC=NMVOC-BZN"
1118050250,"BZN=0*NMVOC, NMBVOC=NMVOC-BZN"
1118050261,"NO= 0.652*NOX-0.652*NO2, BZN=0.0561*NMVOC, NMBVOC=NMVOC-BZN, PM_CPRM=PM10-PM2_5"
1118050262,"NO= 0.652*NOX-0.652*NO2, BZN=0.0007*NMVOC, NMBVOC=NMVOC-BZN, PM_CPRM=PM10-PM2_5"
1009000000,"PM2_5=PM2_5_FPRM, PM_CPRM=PM10-PM2_5"
