tv_id,period,tv_factor
100,1,1.2
100,2,1.15
100,3,1.05
100,4,1
100,5,0.9
100,6,0.85
100,7,0.8
100,8,0.875
100,9,0.95
100,10,1
100,11,1.075
100,12,1.15
200,1,1.7
200,2,1.5
200,3,1.3
200,4,1
200,5,0.7
200,6,0.4
200,7,0.2
200,8,0.4
200,9,0.7
200,10,1.05
200,11,1.4
200,12,1.65
300,1,1.1
300,2,1.075
300,3,1.05
300,4,1
300,5,0.95
300,6,0.9
300,7,0.93
300,8,0.95
300,9,0.97
300,10,1
300,11,1.025
300,12,1.05
400,1,1.02
400,2,1.02
400,3,1.02
400,4,1.02
400,5,1.02
400,6,1.02
400,7,1
400,8,0.92
400,9,1.02
400,10,1.02
400,11,1.02
400,12,0.9
500,1,1.2
500,2,1.2
500,3,1.2
500,4,0.8
500,5,0.8
500,6,0.8
500,7,0.8
500,8,0.8
500,9,0.8
500,10,1.2
500,11,1.2
500,12,1.2
600,1,0.95
600,2,0.96
600,3,1.02
600,4,1
600,5,1.01
600,6,1.03
600,7,1.03
600,8,1.01
600,9,1.04
600,10,1.03
600,11,1.01
600,12,0.91
700,1,0.88
700,2,0.92
700,3,0.98
700,4,1.03
700,5,1.05
700,6,1.06
700,7,1.01
700,8,1.02
700,9,1.06
700,10,1.05
700,11,1.01
700,12,0.93
800,1,0.88
800,2,0.92
800,3,0.98
800,4,1.03
800,5,1.05
800,6,1.06
800,7,1.01
800,8,1.02
800,9,1.06
800,10,1.05
800,11,1.01
800,12,0.93
900,1,1
900,2,1
900,3,1
900,4,1
900,5,1
900,6,1
900,7,1
900,8,1
900,9,1
900,10,1
900,11,1
900,12,1
1000,1,0.45
1000,2,1.3
1000,3,2.35
1000,4,1.7
1000,5,0.85
1000,6,0.85
1000,7,0.85
1000,8,1
1000,9,1.1
1000,10,0.65
1000,11,0.45
1000,12,0.45
1100,1,1
1100,2,1
1100,3,1
1100,4,1
1100,5,1
1100,6,1
1100,7,1
1100,8,1
1100,9,1
1100,10,1
1100,11,1
1100,12,1
11181000,1,1
11181000,2,1
11181000,3,1
11181000,4,1
11181000,5,1
11181000,6,1
11181000,7,1
11181000,8,1
11181000,9,1
11181000,10,1
11181000,11,1
11181000,12,1
11182000,1,1
11182000,2,1
11182000,3,1
11182000,4,1
11182000,5,1
11182000,6,1
11182000,7,1
11182000,8,1
11182000,9,1
11182000,10,1
11182000,11,1
11182000,12,1
11180000,1,1
11180000,2,1
11180000,3,1
11180000,4,1
11180000,5,1
11180000,6,1
11180000,7,1
11180000,8,1
11180000,9,1
11180000,10,1
11180000,11,1
11180000,12,1
110,1,1.06
110,2,1.06
